"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 07 18:58:36 GMT 2023","Thu Sep 07 18:58:36 GMT 2023","116","test","create_notes_test","TestCreateNotes","","","test_create_note_empty_token",""
"passed","Thu Sep 07 18:58:42 GMT 2023","Thu Sep 07 18:58:43 GMT 2023","230","test","update_user_profile_test","TestUpdateUserProfile","","","test_update_user_name",""
"passed","Thu Sep 07 18:58:40 GMT 2023","Thu Sep 07 18:58:40 GMT 2023","161","test","login_user_test","TestLoginUser","","","test_incorrect_password",""
"passed","Thu Sep 07 18:58:41 GMT 2023","Thu Sep 07 18:58:41 GMT 2023","313","test","register_user_test","TestRegisterUser","","","test_register_duplicate_email",""
"passed","Thu Sep 07 18:58:36 GMT 2023","Thu Sep 07 18:58:36 GMT 2023","162","test","create_notes_test","TestCreateNotes","","","test_create_note_invalid_token",""
"passed","Thu Sep 07 18:58:42 GMT 2023","Thu Sep 07 18:58:42 GMT 2023","368","test","register_user_test","TestRegisterUser","","","test_register_invalid_password",""
"passed","Thu Sep 07 18:58:41 GMT 2023","Thu Sep 07 18:58:41 GMT 2023","496","test","register_user_test","TestRegisterUser","","","test_register_invalid_email",""
"passed","Thu Sep 07 18:58:35 GMT 2023","Thu Sep 07 18:58:35 GMT 2023","463","test","create_notes_test","TestCreateNotes","","","test_create_note_invalid_title",""
"passed","Thu Sep 07 18:58:41 GMT 2023","Thu Sep 07 18:58:42 GMT 2023","372","test","register_user_test","TestRegisterUser","","","test_register_invalid_name",""
"passed","Thu Sep 07 18:58:38 GMT 2023","Thu Sep 07 18:58:38 GMT 2023","360","test","delete_note_test","TestDeleteNote","","","test_delete_empty_token",""
"passed","Thu Sep 07 18:58:40 GMT 2023","Thu Sep 07 18:58:41 GMT 2023","278","test","register_user_test","TestRegisterUser","","","test_register_new_user",""
"passed","Thu Sep 07 18:58:43 GMT 2023","Thu Sep 07 18:58:43 GMT 2023","185","test","user_profile_test","TestUserProfile","","","test_get_user_profile",""
"passed","Thu Sep 07 18:58:38 GMT 2023","Thu Sep 07 18:58:38 GMT 2023","395","test","delete_note_test","TestDeleteNote","","","test_delete_invalid_token",""
"passed","Thu Sep 07 18:58:38 GMT 2023","Thu Sep 07 18:58:39 GMT 2023","216","test","get_notes_test","TestGetNotes","","","test_get_all_user_notes",""
"passed","Thu Sep 07 18:58:37 GMT 2023","Thu Sep 07 18:58:38 GMT 2023","655","test","delete_note_test","TestDeleteNote","","","test_delete_note_exists",""
"passed","Thu Sep 07 18:58:39 GMT 2023","Thu Sep 07 18:58:39 GMT 2023","125","test","get_notes_test","TestGetNotes","","","test_get_all_user_notes_empty_token",""
"passed","Thu Sep 07 18:58:36 GMT 2023","Thu Sep 07 18:58:37 GMT 2023","456","test","delete_note_test","TestDeleteNote","","","test_delete_note_resp",""
"passed","Thu Sep 07 18:58:43 GMT 2023","Thu Sep 07 18:58:43 GMT 2023","154","test","user_profile_test","TestUserProfile","","","test_invalid_auth_token",""
"passed","Thu Sep 07 18:58:39 GMT 2023","Thu Sep 07 18:58:39 GMT 2023","0","test","login_user_test","TestLoginUser","","","test_user_login",""
"passed","Thu Sep 07 18:58:36 GMT 2023","Thu Sep 07 18:58:36 GMT 2023","323","test","create_notes_test","TestCreateNotes","","","test_create_note_invalid_category",""
"passed","Thu Sep 07 18:58:39 GMT 2023","Thu Sep 07 18:58:39 GMT 2023","419","test","get_notes_test","TestGetNotes","","","test_get_note_by_id",""
"passed","Thu Sep 07 18:58:35 GMT 2023","Thu Sep 07 18:58:36 GMT 2023","503","test","create_notes_test","TestCreateNotes","","","test_create_note_invalid_desc",""
"passed","Thu Sep 07 18:58:43 GMT 2023","Thu Sep 07 18:58:43 GMT 2023","128","test","user_profile_test","TestUserProfile","","","test_empty_auth_token",""
"passed","Thu Sep 07 18:58:34 GMT 2023","Thu Sep 07 18:58:35 GMT 2023","695","test","create_notes_test","TestCreateNotes","","","test_create_new_note",""
"passed","Thu Sep 07 18:58:39 GMT 2023","Thu Sep 07 18:58:40 GMT 2023","498","test","login_user_test","TestLoginUser","","","test_invalid_email",""
"passed","Thu Sep 07 18:58:40 GMT 2023","Thu Sep 07 18:58:40 GMT 2023","375","test","login_user_test","TestLoginUser","","","test_invalid_password",""
"passed","Thu Sep 07 18:58:39 GMT 2023","Thu Sep 07 18:58:39 GMT 2023","149","test","get_notes_test","TestGetNotes","","","test_get_all_user_notes_invalid_token",""
