"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 07 18:39:27 GMT 2023","Thu Sep 07 18:39:27 GMT 2023","342","test","register_user_test","TestRegisterUser","","","test_register_duplicate_email",""
"passed","Thu Sep 07 18:39:24 GMT 2023","Thu Sep 07 18:39:25 GMT 2023","202","test","get_notes_test","TestGetNotes","","","test_get_all_user_notes",""
"passed","Thu Sep 07 18:39:25 GMT 2023","Thu Sep 07 18:39:25 GMT 2023","163","test","get_notes_test","TestGetNotes","","","test_get_all_user_notes_invalid_token",""
"passed","Thu Sep 07 18:39:25 GMT 2023","Thu Sep 07 18:39:25 GMT 2023","461","test","get_notes_test","TestGetNotes","","","test_get_note_by_id",""
"passed","Thu Sep 07 18:39:24 GMT 2023","Thu Sep 07 18:39:24 GMT 2023","422","test","delete_note_test","TestDeleteNote","","","test_delete_invalid_token",""
"passed","Thu Sep 07 18:39:21 GMT 2023","Thu Sep 07 18:39:22 GMT 2023","573","test","create_notes_test","TestCreateNotes","","","test_create_note_invalid_desc",""
"passed","Thu Sep 07 18:39:29 GMT 2023","Thu Sep 07 18:39:29 GMT 2023","205","test","user_profile_test","TestUserProfile","","","test_get_user_profile",""
"passed","Thu Sep 07 18:39:25 GMT 2023","Thu Sep 07 18:39:25 GMT 2023","130","test","get_notes_test","TestGetNotes","","","test_get_all_user_notes_empty_token",""
"passed","Thu Sep 07 18:39:23 GMT 2023","Thu Sep 07 18:39:24 GMT 2023","685","test","delete_note_test","TestDeleteNote","","","test_delete_note_exists",""
"passed","Thu Sep 07 18:39:22 GMT 2023","Thu Sep 07 18:39:23 GMT 2023","481","test","delete_note_test","TestDeleteNote","","","test_delete_note_resp",""
"passed","Thu Sep 07 18:39:28 GMT 2023","Thu Sep 07 18:39:28 GMT 2023","412","test","register_user_test","TestRegisterUser","","","test_register_invalid_name",""
"passed","Thu Sep 07 18:39:25 GMT 2023","Thu Sep 07 18:39:26 GMT 2023","564","test","login_user_test","TestLoginUser","","","test_invalid_email",""
"passed","Thu Sep 07 18:39:22 GMT 2023","Thu Sep 07 18:39:22 GMT 2023","170","test","create_notes_test","TestCreateNotes","","","test_create_note_invalid_token",""
"passed","Thu Sep 07 18:39:30 GMT 2023","Thu Sep 07 18:39:30 GMT 2023","174","test","user_profile_test","TestUserProfile","","","test_invalid_auth_token",""
"passed","Thu Sep 07 18:39:24 GMT 2023","Thu Sep 07 18:39:24 GMT 2023","388","test","delete_note_test","TestDeleteNote","","","test_delete_empty_token",""
"passed","Thu Sep 07 18:39:29 GMT 2023","Thu Sep 07 18:39:29 GMT 2023","261","test","update_user_profile_test","TestUpdateUserProfile","","","test_update_user_name",""
"passed","Thu Sep 07 18:39:22 GMT 2023","Thu Sep 07 18:39:22 GMT 2023","137","test","create_notes_test","TestCreateNotes","","","test_create_note_empty_token",""
"passed","Thu Sep 07 18:39:27 GMT 2023","Thu Sep 07 18:39:27 GMT 2023","301","test","register_user_test","TestRegisterUser","","","test_register_new_user",""
"passed","Thu Sep 07 18:39:21 GMT 2023","Thu Sep 07 18:39:21 GMT 2023","514","test","create_notes_test","TestCreateNotes","","","test_create_note_invalid_title",""
"passed","Thu Sep 07 18:39:25 GMT 2023","Thu Sep 07 18:39:25 GMT 2023","1","test","login_user_test","TestLoginUser","","","test_user_login",""
"passed","Thu Sep 07 18:39:26 GMT 2023","Thu Sep 07 18:39:26 GMT 2023","435","test","login_user_test","TestLoginUser","","","test_invalid_password",""
"passed","Thu Sep 07 18:39:22 GMT 2023","Thu Sep 07 18:39:22 GMT 2023","339","test","create_notes_test","TestCreateNotes","","","test_create_note_invalid_category",""
"passed","Thu Sep 07 18:39:29 GMT 2023","Thu Sep 07 18:39:30 GMT 2023","134","test","user_profile_test","TestUserProfile","","","test_empty_auth_token",""
"passed","Thu Sep 07 18:39:20 GMT 2023","Thu Sep 07 18:39:21 GMT 2023","798","test","create_notes_test","TestCreateNotes","","","test_create_new_note",""
"passed","Thu Sep 07 18:39:26 GMT 2023","Thu Sep 07 18:39:27 GMT 2023","175","test","login_user_test","TestLoginUser","","","test_incorrect_password",""
"passed","Thu Sep 07 18:39:28 GMT 2023","Thu Sep 07 18:39:29 GMT 2023","420","test","register_user_test","TestRegisterUser","","","test_register_invalid_password",""
"passed","Thu Sep 07 18:39:27 GMT 2023","Thu Sep 07 18:39:28 GMT 2023","573","test","register_user_test","TestRegisterUser","","","test_register_invalid_email",""
