"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 10 02:25:32 GMT 2023","Sun Sep 10 02:25:33 GMT 2023","335","test","create_notes_test","TestCreateNotes","","","test_create_note_invalid_category",""
"passed","Sun Sep 10 02:25:38 GMT 2023","Sun Sep 10 02:25:38 GMT 2023","501","test","register_user_test","TestRegisterUser","","","test_register_invalid_email",""
"passed","Sun Sep 10 02:25:35 GMT 2023","Sun Sep 10 02:25:35 GMT 2023","402","test","delete_note_test","TestDeleteNote","","","test_delete_invalid_token",""
"passed","Sun Sep 10 02:25:40 GMT 2023","Sun Sep 10 02:25:40 GMT 2023","123","test","user_profile_test","TestUserProfile","","","test_empty_auth_token",""
"passed","Sun Sep 10 02:25:39 GMT 2023","Sun Sep 10 02:25:40 GMT 2023","201","test","user_profile_test","TestUserProfile","","","test_get_user_profile",""
"passed","Sun Sep 10 02:25:39 GMT 2023","Sun Sep 10 02:25:39 GMT 2023","245","test","update_user_profile_test","TestUpdateUserProfile","","","test_update_user_name",""
"passed","Sun Sep 10 02:25:36 GMT 2023","Sun Sep 10 02:25:36 GMT 2023","0","test","login_user_test","TestLoginUser","","","test_user_login",""
"passed","Sun Sep 10 02:25:38 GMT 2023","Sun Sep 10 02:25:39 GMT 2023","371","test","register_user_test","TestRegisterUser","","","test_register_invalid_name",""
"passed","Sun Sep 10 02:25:37 GMT 2023","Sun Sep 10 02:25:38 GMT 2023","354","test","register_user_test","TestRegisterUser","","","test_register_duplicate_email",""
"passed","Sun Sep 10 02:25:31 GMT 2023","Sun Sep 10 02:25:31 GMT 2023","759","test","create_notes_test","TestCreateNotes","","","test_create_new_note",""
"passed","Sun Sep 10 02:25:31 GMT 2023","Sun Sep 10 02:25:32 GMT 2023","492","test","create_notes_test","TestCreateNotes","","","test_create_note_invalid_title",""
"passed","Sun Sep 10 02:25:36 GMT 2023","Sun Sep 10 02:25:37 GMT 2023","375","test","login_user_test","TestLoginUser","","","test_invalid_password",""
"passed","Sun Sep 10 02:25:33 GMT 2023","Sun Sep 10 02:25:33 GMT 2023","161","test","create_notes_test","TestCreateNotes","","","test_create_note_invalid_token",""
"passed","Sun Sep 10 02:25:36 GMT 2023","Sun Sep 10 02:25:36 GMT 2023","441","test","get_notes_test","TestGetNotes","","","test_get_note_by_id",""
"passed","Sun Sep 10 02:25:40 GMT 2023","Sun Sep 10 02:25:40 GMT 2023","168","test","user_profile_test","TestUserProfile","","","test_invalid_auth_token",""
"passed","Sun Sep 10 02:25:39 GMT 2023","Sun Sep 10 02:25:39 GMT 2023","378","test","register_user_test","TestRegisterUser","","","test_register_invalid_password",""
"passed","Sun Sep 10 02:25:36 GMT 2023","Sun Sep 10 02:25:36 GMT 2023","492","test","login_user_test","TestLoginUser","","","test_invalid_email",""
"passed","Sun Sep 10 02:25:37 GMT 2023","Sun Sep 10 02:25:37 GMT 2023","161","test","login_user_test","TestLoginUser","","","test_incorrect_password",""
"passed","Sun Sep 10 02:25:34 GMT 2023","Sun Sep 10 02:25:35 GMT 2023","374","test","delete_note_test","TestDeleteNote","","","test_delete_empty_token",""
"passed","Sun Sep 10 02:25:33 GMT 2023","Sun Sep 10 02:25:34 GMT 2023","489","test","delete_note_test","TestDeleteNote","","","test_delete_note_resp",""
"passed","Sun Sep 10 02:25:35 GMT 2023","Sun Sep 10 02:25:36 GMT 2023","158","test","get_notes_test","TestGetNotes","","","test_get_all_user_notes_invalid_token",""
"passed","Sun Sep 10 02:25:37 GMT 2023","Sun Sep 10 02:25:37 GMT 2023","298","test","register_user_test","TestRegisterUser","","","test_register_new_user",""
"passed","Sun Sep 10 02:25:32 GMT 2023","Sun Sep 10 02:25:32 GMT 2023","487","test","create_notes_test","TestCreateNotes","","","test_create_note_invalid_desc",""
"passed","Sun Sep 10 02:25:35 GMT 2023","Sun Sep 10 02:25:35 GMT 2023","124","test","get_notes_test","TestGetNotes","","","test_get_all_user_notes_empty_token",""
"passed","Sun Sep 10 02:25:33 GMT 2023","Sun Sep 10 02:25:33 GMT 2023","123","test","create_notes_test","TestCreateNotes","","","test_create_note_empty_token",""
"passed","Sun Sep 10 02:25:34 GMT 2023","Sun Sep 10 02:25:34 GMT 2023","702","test","delete_note_test","TestDeleteNote","","","test_delete_note_exists",""
"passed","Sun Sep 10 02:25:35 GMT 2023","Sun Sep 10 02:25:35 GMT 2023","206","test","get_notes_test","TestGetNotes","","","test_get_all_user_notes",""
